scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,composite_score
Quant Liquid Plan – Direct Growth,1000,5000,0.11196911196911197,1561.0,10,Sanjeev Sharma,8.6,1.58,0.0,0.867686527106817,0.0,2,Quant Mutual Fund,5,Debt,Liquid Mutual Funds,5.6,4.9,5.9,0.2015295834136414
AXIS FTP – Series 104 – 1112Days,0,0,0.0501930501930502,110.0,4,Devang Shah,7.27,5.29,0.001420271142672692,0.9184111647879765,0.30645161290322587,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,0.28852104716249377
ICICI Pru Income Optimizer Fund,1000,5000,0.1003861003861004,272.0,10,Dharmesh Kakkad,5.43,5.75,0.04622336991607488,0.867686527106817,0.26497695852534564,3,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,7.8,13.3,8.8,0.2896827605545109
ICICI Pru Ultra Short Term Fund,1000,5000,0.15057915057915058,12447.0,10,Manish Banthia,4.76,2.36,0.005293737895416399,0.8695652173913043,0.25806451612903236,3,ICICI Prudential Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.9,6.7,0.29030062043561233
AXIS Ultra Short Term Fund,1000,5000,0.11969111969111969,4491.0,5,Aditya Pagaria,4.47,2.29,0.0033570045190445446,0.8768115942028986,0.2926267281105991,3,Axis Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.4,8.9,0.2939123683263005
Nippon India Money Market Fund,100,500,0.08108108108108109,10718.0,10,Anju Chhajer,5.44,2.79,0.003744351194318916,0.8875469672571122,0.3248847926267282,3,Nippon India Mutual Fund,5,Debt,Money Market Funds,5.7,5.3,6.3,0.29618118930829096
Tata Money Market Fund,150,5000,0.06563706563706564,8814.0,10,Amit Somani,4.59,2.92,0.004906391220142027,0.8867418142780462,0.3387096774193549,3,Tata Mutual Fund,5,Debt,Money Market Funds,5.7,5.6,4.8,0.29659713029571766
PGIM India Money Market Fund,1000,5000,0.05791505791505791,235.0,3,Puneet Pal,5.23,2.48,0.002969657843770174,0.8856682769726248,0.36866359447004615,2,PGIM India Mutual Fund,4,Debt,Money Market Funds,5.7,5.1,8.9,0.30295391267524585
UTI-Money Market Fund,500,500,0.07722007722007723,7897.0,10,Amit Sharma,5.01,2.75,0.0041316978695932855,0.8867418142780462,0.3548387096774194,3,UTI Mutual Fund,4,Debt,Money Market Funds,5.6,5.3,6.2,0.3041379195312527
Tata Ultra Short Term Fund,150,5000,0.09652509652509653,1629.0,4,Akhil Mittal,4.14,2.45,0.0027114267269205935,0.8845947396672035,0.3433179723502305,2,Tata Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,8.9,0.30472347045151416
